codigo,dpto,mpio,mesas_reg,mesas_testigos,cepeda_reg,cepeda_testigos,delta_cepeda,espriella_reg,espriella_testigos,delta_espriella
11006,11,006,55,55,12408,12408,0,1662,1662,0
11007,11,007,122,122,19406,19406,0,1554,1554,0
11010,11,010,61,61,8688,8688,0,4316,4316,0
11013,11,013,83,83,13051,13051,0,5898,5898,0
11016,11,016,81,81,17364,17364,0,2492,2492,0
11019,11,019,68,68,13217,13217,0,2966,2966,0
11022,11,022,59,59,12017,12017,0,2457,2457,0
11025,11,025,145,145,22753,22753,0,7713,7713,0
11027,11,027,16,16,2925,2925,0,813,813,0
11028,11,028,71,71,10097,10097,0,591,591,0
11029,11,029,47,47,9076,9076,0,1691,1691,0
11031,11,031,65,65,10734,10734,0,2578,2578,0
11034,11,034,33,33,8766,8766,0,200,200,0
11037,11,037,29,29,4286,4286,0,2003,2003,0
11040,11,040,53,53,8123,8123,0,1771,1771,0
11043,11,043,61,61,7871,7871,0,549,549,0
11046,11,046,48,48,7867,7867,0,1366,1366,0
11049,11,049,70,70,12996,12996,0,3072,3072,0
11052,11,052,75,75,12333,12333,0,4747,4747,0
11053,11,053,24,24,3659,3659,0,871,871,0
11055,11,055,82,82,13475,13475,0,2240,2240,0
11058,11,058,95,95,15757,15757,0,4244,4244,0
11060,11,060,26,26,2472,2472,0,1112,1112,0
11061,11,061,102,102,13317,13317,0,8004,8004,0
11064,11,064,104,104,20345,20345,0,3063,3063,0
11067,11,067,31,31,5077,5077,0,1724,1724,0
11070,11,070,28,28,3860,3860,0,2045,2045,0
11073,11,073,24,24,3823,3823,0,852,852,0
11076,11,076,250,250,45798,45798,0,15831,15831,0
11079,11,079,18,18,1845,1845,0,724,724,0
11082,11,082,80,80,13726,13726,0,3012,3012,0
11085,11,085,29,29,3633,3633,0,1528,1528,0
11086,11,086,22,22,4178,4178,0,280,280,0
11087,11,087,62,62,9318,9318,0,3751,3751,0
11088,11,088,89,89,13067,13067,0,7362,7362,0
11091,11,091,60,60,10101,10101,0,254,254,0
11094,11,094,67,67,16826,16826,0,1001,1001,0
11097,11,097,45,45,8488,8488,0,1148,1148,0
11098,11,098,46,46,9556,9556,0,1195,1195,0
12001,12,001,996,996,111694,111694,0,98277,98277,0
12075,12,075,237,237,17595,17595,0,31013,31013,0
12150,12,150,155,155,17897,17897,0,12009,12009,0
12170,12,170,51,51,4422,4422,0,5624,5624,0
12180,12,180,60,60,6965,6965,0,4109,4109,0
12200,12,200,97,97,11165,11165,0,7603,7603,0
12225,12,225,96,96,9840,9840,0,7753,7753,0
12300,12,300,84,84,6288,6288,0,7792,7792,0
12375,12,375,73,73,8359,8359,0,5371,5371,0
12410,12,410,78,78,9404,9404,0,5345,5345,0
12415,12,415,87,87,12596,12596,0,5923,5923,0
12450,12,450,38,38,2487,2487,0,4469,4469,0
12525,12,525,20,20,848,848,0,1935,1935,0
12600,12,600,39,39,3274,3274,0,4408,4408,0
12608,12,608,97,97,11855,11855,0,7012,7012,0
12625,12,625,30,30,2970,2970,0,2892,2892,0
12650,12,650,50,50,4232,4232,0,5494,5494,0
12700,12,700,51,51,3795,3795,0,6225,6225,0
12720,12,720,72,72,8345,8345,0,4782,4782,0
12750,12,750,55,55,3310,3310,0,7045,7045,0
12800,12,800,63,63,5937,5937,0,6418,6418,0
12825,12,825,71,71,5097,5097,0,7943,7943,0
12850,12,850,55,55,5069,5069,0,5510,5510,0
12875,12,875,62,62,5120,5120,0,7667,7667,0
12900,12,900,37,37,3166,3166,0,3026,3026,0
13001,13,001,1090,1090,132930,132930,0,105626,105626,0
13004,13,004,113,113,8727,8727,0,9801,9801,0
13007,13,007,63,63,7271,7271,0,3644,3644,0
13009,13,009,59,59,6119,6119,0,4166,4166,0
13010,13,010,230,230,34007,34007,0,18705,18705,0
13013,13,013,147,147,22968,22968,0,8662,8662,0
13014,13,014,51,51,6219,6219,0,4589,4589,0
13016,13,016,43,43,4705,4705,0,3986,3986,0
13019,13,019,132,132,10780,10780,0,15703,15703,0
13020,13,020,39,39,5479,5479,0,1871,1871,0
13022,13,022,279,279,34173,34173,0,21180,21180,0
13023,13,023,56,56,4576,4576,0,4986,4986,0
13024,13,024,44,44,4687,4687,0,4707,4707,0
13025,13,025,178,178,28685,28685,0,9026,9026,0
13027,13,027,68,68,6451,6451,0,6560,6560,0
13028,13,028,155,155,18347,18347,0,13834,13834,0
13031,13,031,89,89,8602,8602,0,8442,8442,0
