codigo,dpto,mpio,mesas_total,mesas_escrutadas,censo,votantes,abstencion,nulos,no_marcados,blancos,validos,iván cepeda castro,abelardo de la espriella,,,
07215,07,215,17,17,4965,2833,2132,28,4,21,2801,544,2236,0,21,0
07217,07,217,29,29,9450,6712,2738,47,7,88,6658,1936,4634,0,88,0
07220,07,220,17,17,5546,4153,1393,47,3,68,4103,1151,2884,0,68,0
07223,07,223,7,7,2259,1568,691,7,0,19,1561,354,1188,0,19,0
07226,07,226,35,35,10514,7483,3031,89,7,120,7387,2149,5118,0,120,0
07232,07,232,13,13,4435,3426,1009,29,1,62,3396,1021,2313,0,62,0
07235,07,235,47,47,16357,11770,4587,129,12,177,11629,3497,7955,0,177,0
07237,07,237,5,5,1549,1074,475,8,1,21,1065,333,711,0,21,0
07238,07,238,18,18,5504,3504,2000,14,9,25,3481,677,2779,0,25,0
07241,07,241,15,15,4191,2876,1315,16,3,34,2857,372,2451,0,34,0
07247,07,247,11,11,3524,2198,1326,7,3,27,2188,280,1881,0,27,0
07248,07,248,9,9,2881,2061,820,15,2,29,2044,517,1498,0,29,0
07249,07,249,20,20,6064,3928,2136,21,0,38,3907,612,3257,0,38,0
07250,07,250,21,21,7259,4513,2746,25,3,39,4485,1126,3320,0,39,0
07251,07,251,11,11,3134,2121,1013,25,4,34,2092,776,1282,0,34,0
07253,07,253,27,27,8967,6766,2201,53,9,100,6704,2274,4330,0,100,0
07256,07,256,10,10,3273,2324,949,20,3,27,2301,399,1875,0,27,0
07259,07,259,8,8,2479,1564,915,8,1,19,1555,222,1314,0,19,0
07262,07,262,4,4,1254,789,465,6,1,10,782,190,582,0,10,0
07265,07,265,18,18,6298,4409,1889,44,12,53,4353,1171,3129,0,53,0
07268,07,268,22,22,7661,5361,2300,63,8,63,5290,1686,3541,0,63,0
07271,07,271,20,20,5820,3641,2179,36,8,32,3597,728,2837,0,32,0
07274,07,274,22,22,6834,4449,2385,61,4,62,4384,1469,2853,0,62,0
07277,07,277,286,286,101453,75552,25901,780,47,1358,74725,35358,38009,0,1358,0
07280,07,280,9,9,2880,1929,951,15,4,19,1910,509,1382,0,19,0
07281,07,281,9,9,2968,2217,751,23,4,41,2190,797,1352,0,41,0
07282,07,282,19,19,6416,4644,1772,49,9,50,4586,1643,2893,0,50,0
07283,07,283,19,19,6270,4757,1513,57,17,56,4683,1494,3133,0,56,0
07286,07,286,9,9,2501,1614,887,11,9,21,1594,286,1287,0,21,0
07289,07,289,18,18,6260,4684,1576,31,6,75,4647,1256,3316,0,75,0
07292,07,292,12,12,3938,2811,1127,33,7,40,2771,836,1895,0,40,0
07298,07,298,14,14,4934,3311,1623,25,1,35,3285,1023,2227,0,35,0
07301,07,301,11,11,3593,2530,1063,15,3,46,2512,669,1797,0,46,0
07304,07,304,23,23,7542,5022,2520,38,8,53,4976,1271,3652,0,53,0
07307,07,307,30,30,10335,7661,2674,82,5,103,7574,3676,3795,0,103,0
07310,07,310,9,9,3116,2437,679,16,3,34,2418,858,1526,0,34,0
07311,07,311,11,11,3619,2269,1350,15,6,17,2248,484,1747,0,17,0
07313,07,313,23,23,8015,5776,2239,76,7,112,5693,2014,3567,0,112,0
07316,07,316,13,13,4469,2737,1732,20,5,27,2712,556,2129,0,27,0
07319,07,319,11,11,3476,2640,836,21,5,45,2614,716,1853,0,45,0
07322,07,322,14,14,4491,2871,1620,20,15,17,2836,617,2202,0,17,0
07324,07,324,5,5,1578,1069,509,7,0,8,1062,279,775,0,8,0
